Treat,Sample_type,Layer,Spot,Sample,Replicat,Area,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
Sp,Soil_Sp,10_30,1215,1215_10_30,0,285,825.904,768.167,63.355,21.184,17.13,168.324,0.892,21.84,815,766,164.055,17.857,1.237,0.809,0.928
Sp,Soil_Sp,10_30,1215,1215_10_30,0,336,1772.253,828.232,69.012,23.573,18.148,143.879,0.887,24.207,1765,819,128.29,19.092,1.299,0.77,0.932
Sp,Soil_Sp,10_30,1215,1215_10_30,0,2266,542.091,875.366,216.853,80.296,35.932,7.757,0.606,80.994,499,886,20.225,40,2.235,0.447,0.897
Sp,Soil_Sp,10_30,1215,1215_10_30,0,3119,681.686,881.194,465.061,165.814,23.95,171.332,0.181,193.373,588,886,176.442,43.444,6.923,0.144,0.496
Sp,Soil_Sp,10_30,1215,1215_10_30,0,1471,669.653,1006.786,226.149,94.714,19.775,38.554,0.361,99.247,630,1035,40.914,24.823,4.79,0.209,0.749
Sp,Soil_Sp,10_30,1215,1215_10_30,0,594,855.875,1117.311,94.083,30.194,25.048,148.172,0.843,33.121,841,1109,151.113,26,1.205,0.83,0.934
Sp,Soil_Sp,10_30,1215,1215_10_30,0,617,1132.686,1344.024,95.841,30.138,26.066,131.15,0.844,33.287,1119,1334,147.265,26.833,1.156,0.865,0.933
Sp,Soil_Sp,10_30,1215,1215_10_30,0,36950,1005.39,1555.468,1048.323,353.063,133.252,162.089,0.423,360.007,831,1485,153.435,167.226,2.65,0.377,0.742
Sp,Soil_Sp,10_30,1215,1215_10_30,2,543,1840.587,222.275,104.225,35.333,19.567,46.579,0.628,35.777,1827,232,26.565,23.591,1.806,0.554,0.801
Sp,Soil_Sp,10_30,1215,1215_10_30,2,173,2100.679,767.702,47.698,14.89,14.794,171.12,0.956,16.125,2096,761,119.745,15,1.006,0.994,0.928
Sp,Soil_Sp,10_30,1215,1215_10_30,2,448,870.681,844.882,87.841,31.86,17.904,104.261,0.73,31.78,862,831,114.146,18.675,1.78,0.562,0.905
Sp,Soil_Sp,10_30,1215,1215_10_30,2,1354,1426.154,888.887,144.368,52.351,32.931,48.405,0.816,55,1408,911,53.13,33.941,1.59,0.629,0.941
Sp,Soil_Sp,10_30,1215,1215_10_30,2,857,1601.641,989.98,131.64,54.117,20.163,151.202,0.621,54.918,1577,976,146.889,21.609,2.684,0.373,0.914
Sp,Soil_Sp,10_30,1215,1215_10_30,2,1367,329.997,1052.818,233.137,71.345,24.396,122.7,0.316,89.811,293,1020,127.763,34.577,2.924,0.342,0.581
Sp,Soil_Sp,10_30,1215,1215_10_30,2,786,897.87,1118.982,105.012,32.785,30.525,133.286,0.896,36.056,883,1108,146.31,30,1.074,0.931,0.957
Sp,Soil_Sp,10_30,1215,1215_10_30,2,243,660.533,1223.023,58.527,19.347,15.992,4.287,0.891,19.723,652,1228,30.466,16,1.21,0.827,0.933
Sp,Soil_Sp,10_30,1215,1215_10_30,2,518,460.971,1401.324,88.426,29.144,22.631,91.827,0.832,30.806,455,1387,103.134,22.942,1.288,0.777,0.92
Sp,Soil_Sp,10_30,1215,1215_10_30,2,963,1725.258,1460.981,114.569,35.539,34.501,152.287,0.922,38.471,1709,1450,152.103,34,1.03,0.971,0.963
Sp,Soil_Sp,10_30,1215,1215_10_30,3,164,1047,140,47.314,15.602,13.384,90,0.921,17.205,1042,133,125.538,12,1.166,0.858,0.988
Sp,Soil_Sp,10_30,1215,1215_10_30,3,4550,1443.2,256.382,727.11,118.403,48.928,82.141,0.108,230.783,1470,149,94.722,98.384,2.42,0.413,0.268
